investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Deutsche Bank,Decline,1100,140,9,Market,0,99,3.9,Bookrunner,Bookrunner,None,0.03939393939393939,0.12727272727272726
Goldman Sachs,Commit,1000,140,3,Market,3,157,18.2,Bookrunner,Bookrunner,None,0.1159235668789809,0.14
Deutsche Bank,Decline,200,10,2,Market,3,31,3.7,Bookrunner,Participant,Demoted,0.11935483870967742,0.05
Deutsche Bank,Commit,800,110,1,Below,2,99,24.7,Bookrunner,Bookrunner,None,0.2494949494949495,0.1375
Wells Fargo,Decline,200,20,2,Below,3,33,6.7,Participant,Participant,None,0.20303030303030303,0.1
Wells Fargo,Commit,600,100,2,Market,2,63,15.7,Bookrunner,Bookrunner,None,0.24920634920634918,0.16666666666666666
Bank of America,Commit,1800,470,3,Below,3,711,230.4,Bookrunner,Bookrunner,None,0.3240506329113924,0.2611111111111111
Deutsche Bank,Commit,900,180,1,Above,2,129,34.8,Bookrunner,Bookrunner,None,0.2697674418604651,0.2
Goldman Sachs,Commit,700,140,1,Market,3,117,13.3,Bookrunner,Bookrunner,None,0.11367521367521369,0.2
Wells Fargo,Commit,300,40,2,Market,2,39,11.3,Bookrunner,Bookrunner,None,0.28974358974358977,0.13333333333333333
Deutsche Bank,Commit,300,40,2,Market,2,43,9.8,Bookrunner,Bookrunner,None,0.22790697674418606,0.13333333333333333
Goldman Sachs,Decline,800,80,3,Market,2,44,2.6,Bookrunner,Participant,Demoted,0.05909090909090909,0.1
MUFG Union,Commit,1400,220,8,Market,0,63,3.0,Bookrunner,Bookrunner,None,0.047619047619047616,0.15714285714285714
Goldman Sachs,Commit,800,130,1,Market,3,144,4.6,Bookrunner,Bookrunner,None,0.03194444444444444,0.1625
Bank of America,Commit,400,80,3,Market,2,50,11.0,Bookrunner,Bookrunner,None,0.22,0.2
Goldman Sachs,Decline,500,50,3,Market,2,32,2.5,Bookrunner,Participant,Demoted,0.078125,0.1
Bank of America,Commit,1600,230,9,Market,0,95,20.0,Bookrunner,Bookrunner,None,0.21052631578947367,0.14375
Deutsche Bank,Commit,1800,290,1,Market,1,55,7.2,Bookrunner,Bookrunner,None,0.13090909090909092,0.16111111111111112
MUFG Union,Commit,1600,250,6,Market,1,134,41.4,Bookrunner,Bookrunner,None,0.308955223880597,0.15625
MUFG Union,Commit,1800,350,8,Market,0,165,26.6,Participant,Bookrunner,Promoted,0.16121212121212122,0.19444444444444445
Wells Fargo,Commit,1200,240,3,Market,2,87,4.2,Bookrunner,Bookrunner,None,0.04827586206896552,0.2
Bank of America,Commit,400,50,3,Below,2,48,10.4,Participant,Participant,None,0.21666666666666667,0.125
Bank of America,Commit,200,40,1,Market,2,29,8.4,Bookrunner,Bookrunner,None,0.2896551724137931,0.2
MUFG Union,Commit,2000,330,2,Below,1,74,21.1,Bookrunner,Bookrunner,None,0.28513513513513516,0.165
Goldman Sachs,Decline,300,20,3,Above,2,30,4.8,Bookrunner,Participant,Demoted,0.16,0.06666666666666667
Deutsche Bank,Commit,1600,300,9,Market,0,178,18.0,Bookrunner,Bookrunner,None,0.10112359550561797,0.1875
MUFG Union,Commit,600,100,3,Market,1,28,2.2,Bookrunner,Bookrunner,None,0.07857142857142858,0.16666666666666666
Bank of America,Commit,1500,180,9,Market,0,148,13.8,Participant,Participant,None,0.09324324324324325,0.12
MUFG Union,Commit,800,160,3,Above,2,47,14.9,Bookrunner,Bookrunner,None,0.3170212765957447,0.2
Deutsche Bank,Decline,1000,90,4,Below,0,36,7.8,Bookrunner,Participant,Demoted,0.21666666666666667,0.09
Goldman Sachs,Commit,900,130,1,Market,1,44,4.9,Bookrunner,Bookrunner,None,0.11136363636363637,0.14444444444444443
Bank of America,Commit,1700,360,7,Market,0,88,29.1,Bookrunner,Bookrunner,None,0.3306818181818182,0.21176470588235294
Wells Fargo,Commit,400,50,1,Market,2,55,12.5,Bookrunner,Participant,Demoted,0.22727272727272727,0.125
Goldman Sachs,Commit,300,60,1,Market,2,26,7.1,Bookrunner,Bookrunner,None,0.27307692307692305,0.2
Deutsche Bank,Commit,1500,330,6,Market,1,223,50.2,Bookrunner,Bookrunner,None,0.2251121076233184,0.22
Goldman Sachs,Commit,200,40,3,Market,2,18,0.2,Participant,Bookrunner,Promoted,0.011111111111111112,0.2
Deutsche Bank,Commit,1800,240,7,Market,0,213,17.0,Participant,Bookrunner,Promoted,0.07981220657276995,0.13333333333333333
Deutsche Bank,Commit,500,90,2,Market,2,49,17.1,Bookrunner,Bookrunner,None,0.3489795918367347,0.18
Deutsche Bank,Commit,600,80,1,Market,2,64,8.0,Participant,Bookrunner,Promoted,0.125,0.13333333333333333
Deutsche Bank,Commit,2200,520,5,Market,1,186,76.4,Bookrunner,Bookrunner,None,0.410752688172043,0.23636363636363636
Bank of America,Commit,2300,400,10,Market,0,252,30.7,Bookrunner,Bookrunner,None,0.12182539682539682,0.17391304347826086
MUFG Union,Decline,600,40,4,Market,1,63,10.1,Bookrunner,Participant,Demoted,0.1603174603174603,0.06666666666666667
Deutsche Bank,Decline,300,50,1,Market,1,10,1.1,Bookrunner,Bookrunner,None,0.11000000000000001,0.16666666666666666
Bank of America,Commit,1300,330,1,Below,2,127,30.6,Bookrunner,Bookrunner,None,0.2409448818897638,0.25384615384615383
Bank of America,Decline,400,60,3,Market,2,55,1.4,Bookrunner,Bookrunner,None,0.025454545454545452,0.15
Wells Fargo,Commit,1300,150,5,Above,1,186,21.6,Bookrunner,Participant,Demoted,0.11612903225806452,0.11538461538461539
Goldman Sachs,Commit,1400,200,6,Market,0,59,16.8,Bookrunner,Bookrunner,None,0.2847457627118644,0.14285714285714285
Deutsche Bank,Decline,800,80,1,Market,2,72,5.6,Bookrunner,Participant,Demoted,0.07777777777777778,0.1
MUFG Union,Commit,1300,250,1,Market,2,105,12.9,Bookrunner,Bookrunner,None,0.12285714285714286,0.19230769230769232
Deutsche Bank,Commit,800,190,1,Market,2,90,21.6,Participant,Bookrunner,Promoted,0.24000000000000002,0.2375
Wells Fargo,Commit,2000,310,6,Market,1,180,8.1,Bookrunner,Bookrunner,None,0.045,0.155
Deutsche Bank,Commit,1000,200,5,Market,1,245,66.2,Participant,Bookrunner,Promoted,0.2702040816326531,0.2
Goldman Sachs,Decline,1300,180,1,Market,1,51,1.0,Bookrunner,Bookrunner,None,0.0196078431372549,0.13846153846153847
Bank of America,Commit,1200,140,4,Below,1,145,39.0,Bookrunner,Participant,Demoted,0.2689655172413793,0.11666666666666667
Wells Fargo,Decline,1000,100,7,Market,0,68,8.8,Bookrunner,Participant,Demoted,0.12941176470588237,0.1
Bank of America,Commit,1200,180,2,Market,1,53,7.6,Participant,Bookrunner,Promoted,0.14339622641509434,0.15
Bank of America,Decline,1100,120,4,Market,1,93,14.3,Bookrunner,Participant,Demoted,0.15376344086021507,0.10909090909090909
Deutsche Bank,Commit,1100,230,9,Above,0,136,44.3,Bookrunner,Bookrunner,None,0.325735294117647,0.20909090909090908
MUFG Union,Commit,900,170,2,Market,2,76,6.3,Participant,Bookrunner,Promoted,0.08289473684210526,0.18888888888888888
Bank of America,Commit,800,150,1,Market,2,62,16.4,Bookrunner,Bookrunner,None,0.264516129032258,0.1875
Deutsche Bank,Commit,1200,240,10,Market,0,151,52.4,Bookrunner,Bookrunner,None,0.34701986754966885,0.2
Bank of America,Commit,700,90,3,Market,2,58,6.4,Bookrunner,Bookrunner,None,0.11034482758620691,0.12857142857142856
Wells Fargo,Commit,1600,170,2,Market,2,230,11.3,Participant,Participant,None,0.0491304347826087,0.10625
Bank of America,Commit,1200,140,2,Market,2,131,21.9,Bookrunner,Participant,Demoted,0.16717557251908396,0.11666666666666667
MUFG Union,Commit,800,120,1,Below,2,99,21.6,Bookrunner,Bookrunner,None,0.2181818181818182,0.15
Bank of America,Commit,2000,380,9,Market,0,189,22.7,Bookrunner,Bookrunner,None,0.1201058201058201,0.19
Bank of America,Commit,700,120,2,Market,2,61,5.3,Bookrunner,Bookrunner,None,0.08688524590163935,0.17142857142857143
Bank of America,Commit,500,70,1,Market,3,80,14.7,Bookrunner,Bookrunner,None,0.18375,0.14
Deutsche Bank,Decline,700,110,2,Market,2,49,4.5,Bookrunner,Bookrunner,None,0.09183673469387756,0.15714285714285714
Goldman Sachs,Commit,1200,140,7,Market,1,182,33.1,Bookrunner,Participant,Demoted,0.1818681318681319,0.11666666666666667
MUFG Union,Commit,1100,170,4,Market,0,32,4.3,Bookrunner,Bookrunner,None,0.134375,0.15454545454545454
MUFG Union,Commit,1000,220,8,Market,0,47,13.5,Bookrunner,Bookrunner,None,0.2872340425531915,0.22
MUFG Union,Commit,1000,100,3,Market,2,73,5.3,Participant,Participant,None,0.07260273972602739,0.1
MUFG Union,Commit,1100,220,4,Market,1,114,20.0,Bookrunner,Bookrunner,None,0.17543859649122806,0.2
Deutsche Bank,Commit,900,120,2,Market,2,98,25.2,Bookrunner,Bookrunner,None,0.2571428571428571,0.13333333333333333
Bank of America,Commit,1600,240,9,Market,0,141,9.7,Bookrunner,Bookrunner,None,0.06879432624113474,0.15
Bank of America,Commit,1300,190,6,Market,1,128,12.7,Bookrunner,Bookrunner,None,0.09921875,0.14615384615384616
Bank of America,Commit,900,120,1,Market,2,82,15.8,Bookrunner,Bookrunner,None,0.1926829268292683,0.13333333333333333
Goldman Sachs,Commit,1300,220,10,Market,0,167,39.2,Bookrunner,Bookrunner,None,0.2347305389221557,0.16923076923076924
MUFG Union,Commit,1200,240,3,Above,2,285,10.0,Bookrunner,Bookrunner,None,0.03508771929824561,0.2
Goldman Sachs,Commit,1600,220,8,Market,0,39,8.7,Bookrunner,Bookrunner,None,0.22307692307692306,0.1375
MUFG Union,Commit,1700,230,1,Market,2,107,24.4,Bookrunner,Bookrunner,None,0.22803738317757008,0.13529411764705881
Wells Fargo,Commit,300,50,2,Market,2,30,4.5,Bookrunner,Bookrunner,None,0.15,0.16666666666666666
Deutsche Bank,Commit,1300,210,9,Market,0,51,8.4,Bookrunner,Bookrunner,None,0.16470588235294117,0.16153846153846155
Bank of America,Commit,1700,220,3,Market,2,293,73.3,Bookrunner,Bookrunner,None,0.2501706484641638,0.12941176470588237
Goldman Sachs,Commit,1100,180,1,Market,2,103,1.9,Participant,Bookrunner,Promoted,0.018446601941747572,0.16363636363636364
Goldman Sachs,Commit,1500,150,4,Market,1,296,37.6,Bookrunner,Participant,Demoted,0.12702702702702703,0.1
Deutsche Bank,Decline,900,160,1,Market,2,63,5.9,Bookrunner,Bookrunner,None,0.09365079365079365,0.17777777777777778
Bank of America,Commit,1500,200,10,Market,0,221,31.8,Participant,Bookrunner,Promoted,0.14389140271493214,0.13333333333333333
Wells Fargo,Commit,2000,390,8,Market,0,153,28.9,Bookrunner,Bookrunner,None,0.18888888888888888,0.195
Wells Fargo,Commit,1600,260,9,Market,0,235,48.4,Bookrunner,Bookrunner,None,0.20595744680851064,0.1625
Wells Fargo,Commit,1200,180,4,Market,1,126,5.5,Bookrunner,Bookrunner,None,0.04365079365079365,0.15
Bank of America,Commit,800,140,2,Market,2,116,3.9,Bookrunner,Bookrunner,None,0.03362068965517241,0.175
Deutsche Bank,Decline,1500,230,6,Market,1,79,5.3,Bookrunner,Bookrunner,None,0.0670886075949367,0.15333333333333332
Bank of America,Commit,2600,180,7,Below,0,374,51.2,Bookrunner,Participant,Demoted,0.13689839572192514,0.06923076923076923
Deutsche Bank,Commit,1300,300,10,Market,0,150,38.1,Bookrunner,Bookrunner,None,0.254,0.23076923076923078
Bank of America,Commit,1000,140,5,Market,1,89,12.5,Bookrunner,Bookrunner,None,0.1404494382022472,0.14
Wells Fargo,Commit,1300,90,10,Market,0,188,32.3,Bookrunner,Participant,Demoted,0.17180851063829786,0.06923076923076923
Goldman Sachs,Decline,1900,110,5,Below,1,125,15.3,Bookrunner,Participant,Demoted,0.12240000000000001,0.05789473684210526
Goldman Sachs,Commit,1800,270,6,Market,1,209,0.0,Participant,Bookrunner,Promoted,0.0,0.15
Bank of America,Commit,1500,200,3,Market,2,147,12.9,Bookrunner,Bookrunner,None,0.08775510204081632,0.13333333333333333
MUFG Union,Commit,400,90,3,Market,1,16,4.1,Bookrunner,Bookrunner,None,0.25625,0.225
MUFG Union,Decline,600,30,1,Market,2,140,9.7,Bookrunner,Participant,Demoted,0.06928571428571428,0.05
Wells Fargo,Commit,1000,180,6,Market,1,121,16.6,Bookrunner,Bookrunner,None,0.13719008264462812,0.18
MUFG Union,Decline,1700,160,2,Market,2,168,23.2,Bookrunner,Participant,Demoted,0.1380952380952381,0.09411764705882353
Goldman Sachs,Commit,1200,150,4,Market,1,113,16.6,Bookrunner,Bookrunner,None,0.14690265486725665,0.125
Wells Fargo,Commit,1000,210,4,Below,1,106,40.7,Bookrunner,Bookrunner,None,0.3839622641509434,0.21
Goldman Sachs,Commit,900,120,2,Market,2,234,15.9,Bookrunner,Bookrunner,None,0.06794871794871796,0.13333333333333333
Bank of America,Commit,1700,270,6,Above,1,173,42.2,Bookrunner,Bookrunner,None,0.2439306358381503,0.1588235294117647
Deutsche Bank,Commit,600,70,2,Market,2,72,9.6,Bookrunner,Bookrunner,None,0.13333333333333333,0.11666666666666667
Deutsche Bank,Commit,700,90,2,Below,2,102,20.6,Bookrunner,Bookrunner,None,0.2019607843137255,0.12857142857142856
MUFG Union,Commit,900,130,4,Market,1,50,2.4,Bookrunner,Bookrunner,None,0.048,0.14444444444444443
Goldman Sachs,Commit,800,110,3,Above,2,118,0.0,Participant,Bookrunner,Promoted,0.0,0.1375
Wells Fargo,Commit,700,70,2,Market,2,37,1.9,Participant,Participant,None,0.05135135135135135,0.1
Wells Fargo,Commit,1400,230,8,Market,0,216,52.3,Bookrunner,Bookrunner,None,0.2421296296296296,0.16428571428571428
Deutsche Bank,Commit,1300,170,10,Market,0,167,23.7,Participant,Bookrunner,Promoted,0.14191616766467066,0.13076923076923078
MUFG Union,Commit,600,100,2,Market,3,91,20.7,Bookrunner,Bookrunner,None,0.22747252747252747,0.16666666666666666
Deutsche Bank,Commit,200,30,2,Below,3,33,0.0,Participant,Bookrunner,Promoted,0.0,0.15
Wells Fargo,Commit,1700,240,10,Below,0,140,24.2,Bookrunner,Bookrunner,None,0.17285714285714285,0.1411764705882353
MUFG Union,Commit,1200,270,1,Market,2,115,6.3,Bookrunner,Bookrunner,None,0.05478260869565217,0.225
MUFG Union,Commit,1600,280,6,Market,1,149,38.1,Bookrunner,Bookrunner,None,0.2557046979865772,0.175
Bank of America,Commit,1800,190,10,Market,0,212,40.9,Bookrunner,Participant,Demoted,0.19292452830188678,0.10555555555555556
MUFG Union,Commit,200,30,4,Market,1,18,4.2,Bookrunner,Bookrunner,None,0.23333333333333334,0.15
Goldman Sachs,Commit,500,110,2,Market,2,38,5.2,Bookrunner,Bookrunner,None,0.1368421052631579,0.22
Bank of America,Commit,600,100,1,Below,1,30,6.8,Bookrunner,Bookrunner,None,0.22666666666666666,0.16666666666666666
Bank of America,Commit,900,170,3,Market,2,125,10.3,Bookrunner,Bookrunner,None,0.0824,0.18888888888888888
Wells Fargo,Commit,700,100,3,Market,2,58,0.0,Participant,Bookrunner,Promoted,0.0,0.14285714285714285
Bank of America,Commit,600,60,4,Market,1,80,20.5,Bookrunner,Participant,Demoted,0.25625,0.1
Goldman Sachs,Commit,2000,280,10,Market,0,244,1.0,Bookrunner,Bookrunner,None,0.004098360655737705,0.14
Bank of America,Commit,600,100,2,Market,2,84,4.2,Bookrunner,Bookrunner,None,0.05,0.16666666666666666
Wells Fargo,Commit,1500,190,2,Below,2,222,27.3,Bookrunner,Bookrunner,None,0.12297297297297298,0.12666666666666668
MUFG Union,Decline,1200,110,4,Market,1,141,7.1,Bookrunner,Participant,Demoted,0.05035460992907801,0.09166666666666666
Deutsche Bank,Commit,800,130,3,Above,2,47,7.8,Participant,Bookrunner,Promoted,0.16595744680851063,0.1625
Goldman Sachs,Decline,300,20,3,Above,2,24,3.7,Bookrunner,Participant,Demoted,0.15416666666666667,0.06666666666666667
Bank of America,Commit,1400,300,7,Market,0,196,47.4,Participant,Bookrunner,Promoted,0.24183673469387754,0.21428571428571427
MUFG Union,Commit,500,90,3,Market,1,14,3.0,Bookrunner,Bookrunner,None,0.21428571428571427,0.18
Bank of America,Commit,2200,430,1,Market,2,136,10.1,Bookrunner,Bookrunner,None,0.07426470588235294,0.19545454545454546
Deutsche Bank,Decline,800,90,2,Market,2,73,4.1,Bookrunner,Participant,Demoted,0.056164383561643834,0.1125
MUFG Union,Commit,1300,160,7,Market,0,119,29.0,Bookrunner,Bookrunner,None,0.24369747899159663,0.12307692307692308
MUFG Union,Commit,1400,200,6,Market,0,59,4.1,Bookrunner,Bookrunner,None,0.06949152542372881,0.14285714285714285
Goldman Sachs,Commit,1200,210,4,Market,1,141,23.0,Bookrunner,Bookrunner,None,0.16312056737588654,0.175
Wells Fargo,Commit,1200,260,4,Market,1,97,17.4,Bookrunner,Bookrunner,None,0.17938144329896905,0.21666666666666667
MUFG Union,Decline,1500,160,3,Market,2,156,16.2,Bookrunner,Participant,Demoted,0.10384615384615384,0.10666666666666667
Deutsche Bank,Decline,900,80,1,Market,2,117,21.5,Bookrunner,Participant,Demoted,0.18376068376068377,0.08888888888888889
Goldman Sachs,Commit,500,90,1,Market,2,50,12.7,Bookrunner,Bookrunner,None,0.254,0.18
Goldman Sachs,Commit,1000,170,5,Market,1,140,48.4,Bookrunner,Bookrunner,None,0.3457142857142857,0.17
Goldman Sachs,Commit,900,120,1,Market,2,130,34.1,Bookrunner,Bookrunner,None,0.2623076923076923,0.13333333333333333
Goldman Sachs,Commit,1000,160,4,Market,1,89,12.3,Bookrunner,Bookrunner,None,0.13820224719101123,0.16
Bank of America,Commit,1200,140,5,Market,1,170,21.3,Bookrunner,Participant,Demoted,0.12529411764705883,0.11666666666666667
MUFG Union,Decline,1100,40,5,Market,1,90,8.6,Bookrunner,Participant,Demoted,0.09555555555555555,0.03636363636363636
Deutsche Bank,Commit,1400,230,8,Market,0,216,59.6,Bookrunner,Bookrunner,None,0.2759259259259259,0.16428571428571428
Goldman Sachs,Commit,1000,190,8,Above,0,85,30.9,Bookrunner,Bookrunner,None,0.3635294117647059,0.19
Goldman Sachs,Decline,400,80,1,Market,3,64,3.5,Bookrunner,Bookrunner,None,0.0546875,0.2
MUFG Union,Commit,1300,220,9,Market,0,139,25.0,Bookrunner,Bookrunner,None,0.17985611510791366,0.16923076923076924
Goldman Sachs,Commit,1000,210,7,Market,0,117,19.2,Bookrunner,Bookrunner,None,0.1641025641025641,0.21
Bank of America,Commit,1200,220,7,Market,0,84,8.1,Bookrunner,Bookrunner,None,0.09642857142857142,0.18333333333333332
MUFG Union,Commit,800,120,3,Market,3,146,14.0,Participant,Bookrunner,Promoted,0.0958904109589041,0.15
Goldman Sachs,Commit,1400,170,5,Below,1,153,7.3,Bookrunner,Bookrunner,None,0.04771241830065359,0.12142857142857143
Deutsche Bank,Commit,600,130,2,Market,2,53,14.6,Bookrunner,Bookrunner,None,0.27547169811320754,0.21666666666666667
Deutsche Bank,Decline,900,160,1,Below,2,64,10.0,Bookrunner,Bookrunner,None,0.15625,0.17777777777777778
Goldman Sachs,Commit,1000,130,6,Market,2,191,44.7,Bookrunner,Bookrunner,None,0.23403141361256546,0.13
Bank of America,Commit,800,170,2,Market,2,115,30.0,Bookrunner,Bookrunner,None,0.2608695652173913,0.2125
MUFG Union,Commit,900,110,1,Market,2,110,18.4,Bookrunner,Bookrunner,None,0.16727272727272727,0.12222222222222222
Bank of America,Commit,1600,310,3,Market,2,122,24.5,Bookrunner,Bookrunner,None,0.20081967213114754,0.19375
Goldman Sachs,Commit,600,100,4,Market,1,63,7.5,Participant,Bookrunner,Promoted,0.11904761904761904,0.16666666666666666
Goldman Sachs,Commit,400,50,1,Market,2,39,6.0,Bookrunner,Bookrunner,None,0.15384615384615385,0.125
Bank of America,Decline,600,80,4,Below,1,71,2.1,Bookrunner,Bookrunner,None,0.029577464788732397,0.13333333333333333
Deutsche Bank,Commit,1800,380,4,Market,1,265,38.7,Bookrunner,Bookrunner,None,0.1460377358490566,0.2111111111111111
Bank of America,Commit,1200,160,1,Market,2,219,29.6,Bookrunner,Bookrunner,None,0.13515981735159818,0.13333333333333333
MUFG Union,Commit,1200,250,5,Market,1,69,3.3,Participant,Bookrunner,Promoted,0.047826086956521734,0.20833333333333334
Bank of America,Commit,700,110,1,Market,3,109,4.7,Bookrunner,Bookrunner,None,0.043119266055045874,0.15714285714285714
Wells Fargo,Commit,800,150,1,Market,2,52,16.0,Bookrunner,Bookrunner,None,0.3076923076923077,0.1875
Goldman Sachs,Commit,800,120,1,Market,2,90,16.7,Participant,Bookrunner,Promoted,0.18555555555555556,0.15
Wells Fargo,Commit,1600,220,9,Market,0,95,2.1,Bookrunner,Bookrunner,None,0.02210526315789474,0.1375
Deutsche Bank,Commit,1200,190,5,Above,1,92,28.1,Bookrunner,Bookrunner,None,0.30543478260869567,0.15833333333333333
MUFG Union,Commit,2000,330,4,Market,1,240,14.4,Bookrunner,Bookrunner,None,0.060000000000000005,0.165
Goldman Sachs,Commit,1500,220,7,Market,0,121,0.7,Bookrunner,Bookrunner,None,0.005785123966942148,0.14666666666666667
MUFG Union,Commit,700,140,2,Market,2,77,19.3,Bookrunner,Bookrunner,None,0.2506493506493507,0.2
Wells Fargo,Commit,1100,100,10,Market,1,189,17.0,Bookrunner,Participant,Demoted,0.08994708994708994,0.09090909090909091
Bank of America,Commit,900,140,3,Market,2,121,7.5,Bookrunner,Bookrunner,None,0.06198347107438017,0.15555555555555556
Wells Fargo,Commit,1500,200,1,Below,3,263,8.2,Bookrunner,Bookrunner,None,0.0311787072243346,0.13333333333333333
Goldman Sachs,Decline,1100,70,9,Market,0,155,22.5,Bookrunner,Participant,Demoted,0.14516129032258066,0.06363636363636363
Deutsche Bank,Decline,800,80,1,Market,1,11,0.3,Participant,Participant,None,0.02727272727272727,0.1
Deutsche Bank,Decline,600,70,1,Market,3,94,12.7,Bookrunner,Participant,Demoted,0.1351063829787234,0.11666666666666667
MUFG Union,Commit,900,150,2,Market,2,106,28.9,Participant,Bookrunner,Promoted,0.27264150943396226,0.16666666666666666
Goldman Sachs,Commit,800,130,3,Market,2,62,17.7,Bookrunner,Bookrunner,None,0.2854838709677419,0.1625
MUFG Union,Decline,1700,140,5,Above,1,90,16.4,Bookrunner,Participant,Demoted,0.1822222222222222,0.08235294117647059
Deutsche Bank,Commit,1700,250,10,Below,0,95,13.7,Bookrunner,Bookrunner,None,0.14421052631578946,0.14705882352941177
Deutsche Bank,Decline,900,120,3,Below,2,114,6.3,Bookrunner,Bookrunner,None,0.05526315789473684,0.13333333333333333
Goldman Sachs,Commit,1600,220,10,Above,0,123,17.1,Bookrunner,Bookrunner,None,0.13902439024390245,0.1375
Deutsche Bank,Commit,1300,200,8,Market,1,210,0.0,Participant,Bookrunner,Promoted,0.0,0.15384615384615385
MUFG Union,Commit,1600,250,6,Market,2,264,75.8,Bookrunner,Bookrunner,None,0.2871212121212121,0.15625
Deutsche Bank,Commit,1500,250,4,Market,1,185,59.2,Bookrunner,Bookrunner,None,0.32,0.16666666666666666
MUFG Union,Commit,1200,150,7,Market,1,182,38.4,Bookrunner,Bookrunner,None,0.210989010989011,0.125
Bank of America,Decline,200,30,2,Market,2,24,0.2,Bookrunner,Bookrunner,None,0.008333333333333333,0.15
Wells Fargo,Commit,1500,350,10,Market,0,217,30.8,Bookrunner,Bookrunner,None,0.14193548387096774,0.23333333333333334
Goldman Sachs,Commit,900,200,1,Market,2,110,17.1,Bookrunner,Bookrunner,None,0.15545454545454546,0.2222222222222222
MUFG Union,Decline,1100,100,2,Market,2,113,14.6,Bookrunner,Participant,Demoted,0.12920353982300883,0.09090909090909091
Deutsche Bank,Commit,300,60,1,Market,3,46,8.3,Bookrunner,Bookrunner,None,0.18043478260869567,0.2
Deutsche Bank,Commit,1000,160,4,Market,1,93,28.2,Bookrunner,Bookrunner,None,0.3032258064516129,0.16
MUFG Union,Decline,600,50,2,Below,2,63,11.3,Bookrunner,Participant,Demoted,0.17936507936507937,0.08333333333333333
Bank of America,Commit,600,120,4,Market,1,80,1.2,Bookrunner,Bookrunner,None,0.015,0.2
Goldman Sachs,Commit,1100,160,9,Market,0,115,21.6,Participant,Bookrunner,Promoted,0.18782608695652175,0.14545454545454545
Bank of America,Commit,1700,270,5,Above,1,187,51.4,Bookrunner,Bookrunner,None,0.2748663101604278,0.1588235294117647
Goldman Sachs,Commit,1300,290,8,Above,0,119,9.9,Participant,Bookrunner,Promoted,0.08319327731092438,0.2230769230769231
MUFG Union,Commit,700,110,3,Market,2,43,7.2,Participant,Bookrunner,Promoted,0.16744186046511628,0.15714285714285714
Deutsche Bank,Commit,1500,230,8,Market,0,128,30.5,Bookrunner,Bookrunner,None,0.23828125,0.15333333333333332
Goldman Sachs,Decline,200,50,2,Market,2,11,1.3,Bookrunner,Bookrunner,None,0.11818181818181818,0.25
MUFG Union,Decline,600,50,2,Market,2,63,3.6,Bookrunner,Participant,Demoted,0.05714285714285714,0.08333333333333333
Goldman Sachs,Commit,1100,170,7,Market,1,195,23.8,Participant,Bookrunner,Promoted,0.12205128205128206,0.15454545454545454
Goldman Sachs,Commit,1600,120,7,Above,0,288,46.9,Bookrunner,Participant,Demoted,0.16284722222222223,0.075
Goldman Sachs,Commit,1000,150,5,Market,1,89,11.6,Participant,Bookrunner,Promoted,0.1303370786516854,0.15
MUFG Union,Commit,1500,350,9,Market,0,163,48.4,Bookrunner,Bookrunner,None,0.2969325153374233,0.23333333333333334
Wells Fargo,Commit,800,90,1,Market,2,62,13.1,Bookrunner,Participant,Demoted,0.21129032258064515,0.1125
